train_loss,val_loss,val_f1,val_mcc
0.7717534258615139,0.5022579997777938,0.8380952477455139,0.7741438150405884
0.3762315085460973,0.21314128562808038,0.893401026725769,0.8502885103225708
0.1837025551601898,0.12933869045227767,0.9119171500205994,0.8759061098098755
0.11617628127596406,0.11615769998170436,0.9263158440589905,0.8959092497825623
0.050851285739173725,0.11487705261679367,0.936170220375061,0.9096497297286987
0.03918494039410075,0.11607292118133046,0.936170220375061,0.9096497297286987
0.03351369916006576,0.12028931343811564,0.9462365508079529,0.9237340688705444
0.019392410428588126,0.12694593807391358,0.9513513445854187,0.9309107661247253
0.015058207709021084,0.16199485655815807,0.9312168955802917,0.9027376174926758
0.013394181332080543,0.17351804652753344,0.914893627166748,0.8780373334884644
0.010683882274924842,0.17302302345660792,0.9197860956192017,0.884959876537323
0.009006703228806145,0.16111653264815687,0.9239130616188049,0.8902881145477295
0.009709649956168378,0.15977390247257972,0.9462365508079529,0.9237340688705444
0.005860068693352311,0.1743633428406383,0.9462365508079529,0.9237340688705444
0.004228946318023748,0.18600178419023905,0.9347826242446899,0.9062522053718567
0.003362475495905951,0.18877581843084953,0.9347826242446899,0.9062522053718567
0.005301958437315946,0.1715568483578636,0.9347826242446899,0.9062522053718567
0.003069878129947536,0.18855322083309148,0.9462365508079529,0.9237340688705444
0.005771498528152141,0.20819366726179567,0.9462365508079529,0.9237340688705444
0.005839264491822728,0.22472315681934277,0.9462365508079529,0.9237340688705444
0.004461075885554364,0.21077880619851327,0.9405405521392822,0.9149879217147827
0.002551923691519965,0.20690804605891627,0.9405405521392822,0.9149879217147827
0.007494879476600841,0.1927363634993128,0.9513513445854187,0.9309107661247253
0.004984312825568892,0.17126932034630898,0.9456521272659302,0.9222162961959839
0.0012497925686042182,0.1853406310601798,0.9462365508079529,0.9237340688705444
0.0016449083274659812,0.17769963390663576,0.9513513445854187,0.9309107661247253
0.0027502445159793857,0.19812444975440363,0.9462365508079529,0.9237340688705444
0.002631585799230548,0.18534685757209565,0.9513513445854187,0.9309107661247253
