0
Uncharacterized protein
Mechanosensitive ion channel protein
Transmembrane channel-like protein
"Mechanosensitive ion channel protein 1, mitochondrial-like"
TMC domain-containing protein
SH3 domain-containing protein
"Small-conductance mechanosensitive ion channel, putative"
Piezo non-specific cation channel R-Ras-binding domain-containing protein
Mechanosensitive ion channel protein MscS
Large-conductance mechanosensitive channel
"Mechanosensitive ion channel MscS, LSM domain superfamily"
Piezo-type mechanosensitive ion channel component
Piezo-type mechanosensitive ion channel homolog isoform X1
DUF3595 family protein
Membrane protein
Piezo-type mechanosensitive ion channel-like protein
Piezo non-specific cation channel R-Ras-binding domain-containing protein (Fragment)
Mechanosensitive ion channel protein 10-like
Mechanosensitive ion channel domain-containing protein
Piezo-type mechanosensitive ion channel component (Fragment)
EF-hand domain-containing protein
Protein CBR-TMC-1
Miniconductance mechanosensitive channel
(wild Malaysian banana) hypothetical protein
Mechanosensitive ion channel protein 6-like isoform X1
Large conductance mechanosensitive channel protein
Mechanosensitive ion channel family protein
Fibronectin type-III domain-containing protein
TMC domain-containing protein (Fragment)
Transmembrane channel-like protein 7 isoform X1
Membrane transport protein
DUF4220 domain-containing protein (Fragment)
Mechanosensitive ion channel protein (Fragment)
Mechanosensitive ion channel protein 10 (Fragment)
BnaC02g08790D protein
Mechanosensitive ion channel family protein (Fragment)
"Chromosome undetermined scaffold_92, whole genome shotgun sequence"
"Chromosome undetermined scaffold_91, whole genome shotgun sequence"
"Chromosome undetermined scaffold_66, whole genome shotgun sequence"
"Mechanosensitive ion channel protein 1, mitochondrial isoform X1"
Transmembrane channel-like protein 8
Piezo-type mechanosensitive ion channel component 1
Transmembrane channel-like protein 1
Transmembrane channel-like protein 2
Mechanosensitive cation channel TMEM63A
CSC1-like protein 1
Transmembrane protein 63B
Transmembrane protein 63A
Mechanosensitive cation channel TMEM63B
Transmembrane channel-like protein 3
Transmembrane channel-like protein 7
Piezo type mechanosensitive ion channel component 1
Small-conductance mechanosensitive channel
Mechanosensitive channel MscK
Mechanosensing system component YbdG
Piezo type mechanosensitive ion channel component 2
Piezo-type mechanosensitive ion channel component 2
Voltage-gated chloride channel TMC4
Transmembrane channel-like protein 6
Transmembrane channel-like protein 5
Miniconductance mechanosensitive channel YbdG
"Genome assembly, chromosome: II"
"Chromosome undetermined scaffold_44, whole genome shotgun sequence"
BnaCnng28330D protein
BnaAnng13610D protein
BnaCnng23880D protein (Fragment)
BnaA04g29450D protein
Transmembrane channel-like protein 5 isoform X1
Calcineurin-like phosphoesterase domain-containing protein
Ion channel protein
EF-hand domain-containing protein (Fragment)
Protein kinase domain-containing protein
Mechanosensitive channel of small conductance
"Mechanosensitive ion channel protein 1, mitochondrial"
BnaC04g51030D protein
"Mechanosensitive ion channel protein, putative"
Hypothetical transmembrane protein
Piezo-type mechanosensitive ion channel homolog
Protein CBG21689
Protein CBG21690
Tmc-1
"Chromosome undetermined scaffold_39, whole genome shotgun sequence"
Small conductance mechanosensitive ion channel protein YbdG
Mechanosensitive ion channel protein 5-like
"Ion channel, putative (AFU_orthologue AFUA_3G02140)"
MscS-Like mechanosensitive ion channel
Mechanosensitive ion channel protein isoform 1
Uncharacterized protein isoform 1
Mechanosensitive ion channel protein 10-like isoform X1
Mechanosensitive ion channel protein 9-like isoform X1
Uncharacterized protein LOC110801664 isoform X1
Mechanosensitive ion channel protein 5-like isoform X1
"Mechanosensitive channel of small conductance-like 10, putative isoform 1"
Transport
Os02g0681000 protein
Putative mechanosensitive ion channel protein
Piezo family protein
Protein CBR-TMC-2
"Chromosome undetermined scaffold_18, whole genome shotgun sequence"
"Mechanosensitive ion channel protein 1, mitochondrial-like isoform X1"
Mechanosensitive ion channel domain-containing protein isoform 1
ATP-dependent (S)-NAD(P)H-hydrate dehydratase
Protection of telomeres protein 1
"Ion channel, putative"
Predicted protein
BnaCnng53480D protein
Os04g0578700 protein
"Putative Piezo non-specific cation channel, R-Ras-binding domain protein"
Mechanosensitive ion channel protein 1 mitochondrial
Putative mechanosensitive ion channel MscS-like protein
